Tammiste Konsum (valge),Tammiste,Kellukese tee 2,85009,Sissepääsu kõrval,58.3888,24.6056
Narva Fama Keskus (valge),Narva,Fama põik 10,20303,Swedbanki poolse sissepääsu juures,59.37974,28.1851
Haapsalu Kaubamaja Konsum (valge),Haapsalu,Tallinna maantee 1,90507,Peasissepääsu juures,58.94028,23.5399
Jõhvi Pargi keskus (valge),Jõhvi,Puru tee 1,41534,Juku ja Sportlandi kaupluste vahel koridoris,59.3524,27.4178
Keila Jaama kauplus (valge),Keila,Jaama 1,76605,Kassade vastas boksis,59.30674,24.4117
Tartu Raadimõisa Konsum (valge),Tartu,Kaupmehe 2,60532,Sissepääsu juures,58.402802,26.7393
Alatskivi Konsum (valge),Alatskivi,Lossi 1a,60218,Sissepääsu juures,58.60041,27.131011
"Sillamäe Maxima X, Viru pst (valge)",Sillamäe,Viru puiestee 35,40233,Maxima kassade vastas,59.3909626,27.7907298
Tallinna Kivila Gross (valge),Tallinn,Kivila 26,13917,Sissepääsu juures,59.4435844,24.8728398
Mustla Konsum (valge),Mustla,Posti 52a,69701,Sissepääsu kõrval,58.2349721,25.8655528
Viljandi Maksimarket (valge),Viljandi,Lääne 2,71013,Sissepääsu kõrval boksis,58.370585,25.5831243
Kohtla-Järve mini-Rimi (valge),Kohtla-Järve,Põhja allee 4,30323,Sissepääsu kõrval,59.4071888,27.2847729
Tartu Kivilinna Konsum (valge),Tartu,Jaama 173,50605,Sissepääsu kõrval,58.3795582,26.7643174
Tartu Märja Konsum (valge),Tartu,Aisa tn 2,61406,Kassade vastas,58.3608209,26.6511661
Ahtme Grossi kpl (valge),Kohtla-Järve,Maleva 23,31025,Kassade vastas,59.3277333,27.4186563
Tallinna Paasiku Grossi kpl (valge),Tallinn,Paasiku 2a,13915,Sissepääsu vastas,59.4483993,24.8449583
Tallinna Idakeskus (valge),Tallinn,Punane 16b,13619,Bowlingu sissepääsust vasakul,59.431831,24.8226002
Narva Kerese Keskus (valge),Narva,Paul Kerese 3,20309,Sissepääsu juures lifti kõrval,59.3758773,28.1914766
Narva Tiimani Maxima (valge),Narva,Albert-August Tiimani 20,21004,Sissepääsu juures vasakul pool,59.3805948,28.1653201
