Sõpruse tee 15,Viimsi,74001,Harjumaa,Viimsi Selver,59.5049443,24.8270581
Riia mnt 13,Viljandi,71002,Viljandimaa,Viljandi Männimäe Rimi,58.3548673,25.5847268
Lääne 2,Viljandi,71013,Viljandimaa,Viljandi Maksimarket,58.3706613,25.583185
Ilmarise 1,Viljandi,71007,Viljandimaa,Viljandi bussijaam,58.3691544,25.5989755
Jüri 83,Võru,65607,Võrumaa,Võru Maksimarket,57.8353661,27.0101973
Kooli 2,Võru,65606,Võrumaa,Võru Maxima XX,57.847815,27.0048602
Pikk 12,Väike-Maarja,46202,Lääne-Virumaa,Väike-Maarja Konsum,59.128426,26.252485
Pärnu-Paide mnt 21,Vändra,87701,Pärnumaa,Vändra Konsum,58.6540237,25.0382137
Järvesuu 2a,Värska,64001,Võrumaa,Värska kauplus,57.9590944,27.6315742
Männiku,Vääna-Jõesuu,76909,Harjumaa,Vääna-Jõesuu Meie kauplus,59.4334915,24.3679483
Võru mnt 2,Ülenurme,61714,Tartumaa,Ülenurme Konsum,58.3151163,26.7220739
